GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
173,-555.7817,-26668.0633,-4705.7919,117.63966887999999,-27223.845,-4588.152231120001,-31811.99723112
174,-661.179,-26574.4448,-4786.8483,118.20594743999999,-27235.6238,-4668.642352559999,-31904.266152559998
175,-661.8086,-26513.3206,-4793.906,121.11510960000001,-27175.1292,-4672.7908904,-31847.9200904
176,-381.2638,-26528.7318,-4681.8554,117.3951936,-26909.995600000002,-4564.4602064,-31474.4558064
177,-588.5646,-26675.0302,-4646.1561,118.08632087999999,-27263.594800000003,-4528.06977912,-31791.664579120003
178,-697.5565,-26487.361,-4754.1143,120.5142552,-27184.9175,-4633.6000448,-31818.5175448
179,-612.3636,-26536.7323,-4779.6388,115.2491292,-27149.0959,-4664.389670799999,-31813.4855708
180,-636.1444,-26431.1104,-4850.209,117.6774084,-27067.254800000002,-4732.5315916,-31799.786391600002
181,-1102.9111,-26416.3643,-4866.4257,121.70093039999999,-27519.275400000002,-4744.7247695999995,-32264.000169600004
182,-416.3559,-26517.0851,-4779.238,122.96578319999999,-26933.441,-4656.2722168,-31589.7132168
183,-64.1012,-26332.5556,-4924.2364,119.28000672,-26396.6568,-4804.95639328,-31201.613193279998
184,-811.6398,-26409.2479,-4835.8006,119.49223032,-27220.8877,-4716.3083696799995,-31937.196069679998
185,-635.7585,-26599.8868,-4685.4272,112.76726832,-27235.6453,-4572.65993168,-31808.305231680002
186,159.0606,-26507.5596,-4790.2152,119.21672448000001,-26348.499,-4670.998475519999,-31019.49747552
187,-180.2267,-26371.7935,-4876.2737,120.84041304,-26552.0202,-4755.433286959999,-31307.453486959996
188,-660.3569,-26453.3322,-4869.0997,115.5013056,-27113.6891,-4753.5983944,-31867.2874944
189,-661.3224,-26398.4764,-4893.8196,117.41440536,-27059.7988,-4776.4051946399995,-31836.20399464
190,-566.7189,-26419.2417,-4857.0363,115.55850167999999,-26985.9606,-4741.47779832,-31727.43839832
191,-228.5939,-26352.5524,-4924.8591,119.61631224,-26581.1463,-4805.242787759999,-31386.389087760002
192,-1127.5367,-26476.8669,-4749.3536,121.99192344000001,-27604.4036,-4627.36167656,-32231.76527656
193,-957.1696,-26465.2482,-4835.9701,119.58145415999999,-27422.417800000003,-4716.388645839999,-32138.80644584
194,-721.4777,-26457.1841,-4855.912,118.8982224,-27178.661799999998,-4737.0137776,-31915.6755776
195,-245.3605,-26480.2834,-4850.2756,115.6887972,-26725.6439,-4734.5868027999995,-31460.2307028
196,-649.0346,-26627.6014,-4770.2296,116.80405415999999,-27276.636,-4653.425545839999,-31930.06154584
197,47.2531,-26630.8994,-4694.4654,116.97543864,-26583.646299999997,-4577.48996136,-31161.13626136
198,-555.0731,-26589.2981,-4691.5465,116.09258112,-27144.3712,-4575.45391888,-31719.825118880002
199,-433.9077,-26362.4875,-4882.6679,116.0164116,-26796.3952,-4766.651488400001,-31563.046688399998

Receptor Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-155.8972,-26582.2214,-4815.3566,121.19230224,-26738.118599999998,-4694.16429776,-31432.282897759997
1,-812.1974,-26549.3661,-4755.7253,116.89021007999999,-27361.5635,-4638.83508992,-32000.39858992
2,-1150.9515,-26424.1013,-4872.5952,119.43483696,-27575.052799999998,-4753.1603630399995,-32328.213163039996
3,-716.7423,-26408.9977,-4877.7882,118.77712776,-27125.74,-4759.0110722399995,-31884.75107224
4,-549.0365,-26218.0686,-5000.2092,118.22592024,-26767.105099999997,-4881.98327976,-31649.08837976
5,-308.1859,-26404.6582,-4937.9397,118.85468616,-26712.844100000002,-4819.08501384,-31531.92911384
6,-961.4944,-26546.7101,-4709.9764,115.08828048,-27508.2045,-4594.888119519999,-32103.09261952
7,-437.2355,-26503.1152,-4758.0785,115.20557928,-26940.3507,-4642.8729207199995,-31583.22362072
8,-891.1024,-26337.0619,-4908.5357,117.28992095999999,-27228.1643,-4791.24577904,-32019.41007904
9,-673.6054,-26606.5349,-4716.0955,118.87882919999998,-27280.1403,-4597.2166708,-31877.3569708
